DEPTH	GR	LLD	LLS	MLL	NPHI	PEF	RHOB
1328.2	85.5075	1.3705	1.4036	1.6206	0.340909	3.4341	2.4039
1328.3	85.8284	1.3688	1.401	1.6306	0.343586	3.4819	2.4074
1328.4	86.4344	1.3664	1.3974	1.6361	0.347032	3.539	2.4108
1328.5	87.1077	1.3632	1.3933	1.6369	0.350456	3.583	2.4128
1328.6	87.8349	1.3592	1.3889	1.6338	0.352917	3.5959	2.413
1328.7	88.6971	1.3546	1.3844	1.6277	0.353833	3.5819	2.4109
1328.8	89.6599	1.3494	1.3795	1.6191	0.353338	3.5612	2.4071
1328.9	90.4458	1.3439	1.3739	1.6082	0.352142	3.5474	2.4017
1329	90.7014	1.3383	1.3681	1.5955	0.35119	3.542	2.3954
1329.1	90.2659	1.3328	1.3623	1.5821	0.351193	3.5375	2.3891
1329.2	89.3506	1.3273	1.3572	1.5691	0.352243	3.5287	2.3839
1329.3	88.4841	1.3221	1.3529	1.5579	0.353846	3.517	2.3808
1329.4	88.1441	1.317	1.3488	1.5489	0.355357	3.514	2.3804
1329.5	88.3414	1.3119	1.3445	1.5421	0.356368	3.5228	2.3822
1329.6	88.6575	1.3065	1.3395	1.5368	0.356886	3.5377	2.3854
1329.7	88.5326	1.3009	1.3338	1.5325	0.357288	3.5485	2.389
1329.8	87.7044	1.295	1.3278	1.5282	0.358019	3.5454	2.3921
1329.9	86.3951	1.2888	1.3219	1.5234	0.359272	3.5351	2.3945
1330	85.1216	1.2825	1.3163	1.5174	0.360919	3.5451	2.3964
1330.1	84.2474	1.2764	1.311	1.5102	0.362608	3.5915	2.3982
1330.2	83.8474	1.2708	1.3062	1.5022	0.36392	3.6702	2.4002
1330.3	83.8035	1.2657	1.3021	1.4946	0.364547	3.7566	2.4025
1330.4	84.0928	1.2614	1.2987	1.4887	0.364371	3.8199	2.4051
1330.5	84.6736	1.2583	1.2957	1.4855	0.36355	3.8395	2.4077
1330.6	85.5117	1.2568	1.2931	1.485	0.362444	3.8178	2.4097
1330.7	86.4546	1.2569	1.2908	1.486	0.361638	3.7762	2.4102
1330.8	87.1653	1.2587	1.2888	1.487	0.36179	3.7363	2.4086
1330.9	87.4118	1.262	1.2873	1.4865	0.363463	3.7125	2.4051
1331	87.1804	1.2664	1.2867	1.4839	0.366844	3.7104	2.4003
1331.1	86.7588	1.2712	1.2874	1.4802	0.371502	3.7265	2.3948
1331.2	86.5032	1.2757	1.2899	1.478	0.376424	3.7542	2.3891
1331.3	86.4703	1.2793	1.2948	1.4809	0.380294	3.7825	2.3843
1331.4	86.5063	1.2815	1.3022	1.4929	0.381861	3.8076	2.3825
1331.5	86.2092	1.2823	1.3117	1.5167	0.380045	3.8454	2.3867
1331.6	85.1219	1.2818	1.3218	1.5518	0.374287	3.9349	2.3989
1331.7	83.1159	1.2805	1.33	1.5922	0.364787	4.1112	2.4183
1331.8	80.5155	1.2791	1.3342	1.6266	0.353033	4.3677	2.4405
1331.9	78.0443	1.278	1.3334	1.642	0.341149	4.6552	2.4587
1332	76.4856	1.2773	1.3285	1.6306	0.331283	4.8864	2.4668
1332.1	76.3848	1.2771	1.3216	1.5958	0.325304	4.9733	2.4629
1332.2	77.8061	1.277	1.3151	1.5498	0.324423	4.8947	2.4501
1332.3	80.3423	1.2763	1.3105	1.5068	0.328248	4.7087	2.4342
1332.4	83.3215	1.2748	1.3079	1.4764	0.33461	4.4957	2.4208
1332.5	85.8885	1.2721	1.3064	1.462	0.340857	4.3132	2.4123
1332.6	87.4045	1.2681	1.3046	1.4611	0.345303	4.1742	2.4084
1332.7	87.7088	1.2634	1.3018	1.4682	0.347852	4.0673	2.4072
1332.8	87.0585	1.2584	1.298	1.4773	0.349525	3.9785	2.407
1332.9	85.9166	1.254	1.2937	1.4841	0.351534	3.9105	2.4067
1333	84.777	1.2506	1.2899	1.4875	0.354462	3.8618	2.4061
1333.1	84.0894	1.2483	1.2871	1.4888	0.358181	3.828	2.4051
1333.2	84.1866	1.2469	1.2859	1.49	0.362093	3.8074	2.4038
1333.3	85.0659	1.2459	1.2858	1.4923	0.365365	3.796	2.4023
1333.4	86.3809	1.2448	1.286	1.4951	0.36723	3.794	2.4002
1333.5	87.5939	1.243	1.2855	1.4967	0.367383	3.8062	2.3972
1333.6	88.2717	1.2402	1.2837	1.4949	0.366249	3.8315	2.3933
1333.7	88.2272	1.2364	1.2803	1.4889	0.364844	3.8762	2.389
1333.8	87.7255	1.2318	1.2752	1.4796	0.364172	3.95	2.3853
1333.9	87.3303	1.2267	1.2686	1.4686	0.36457	4.0488	2.3832
1334	87.4787	1.2216	1.2612	1.4576	0.365652	4.1489	2.3831
1334.1	88.2387	1.2167	1.2536	1.4478	0.366772	4.2163	2.3846
1334.2	89.3274	1.2124	1.2466	1.4395	0.367513	4.2242	2.3867
1334.3	90.2795	1.2087	1.2409	1.4328	0.367839	4.1716	2.3881
1334.4	90.9344	1.2057	1.2366	1.4272	0.367881	4.0902	2.3882
1334.5	91.4312	1.2031	1.2336	1.4223	0.36753	4.0178	2.3869
1334.6	92.0608	1.201	1.2313	1.4178	0.366763	3.9737	2.3849
1334.7	93.0189	1.1991	1.229	1.4135	0.365562	3.9523	2.3829
1334.8	94.134	1.1975	1.2262	1.4092	0.364301	3.9347	2.3817
1334.9	94.9524	1.1963	1.2232	1.4052	0.363398	3.9075	2.3816
1335	95.0907	1.1954	1.2206	1.4023	0.363032	3.872	2.3829
1335.1	94.5614	1.195	1.2187	1.4014	0.363242	3.84	2.385
