DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	SP
1532.25	65.0697	9.1987	53.477	29.1595	20.2225	27.3895	0.073035	75.5143
1532.375	64.9065	9.1988	50.034	29.0403	20.2323	27.3383	0.07633	75.4925
1532.5	64.9065	9.1988	50.034	28.921	20.242	27.287	0.07633	75.4925
1532.625	64.9065	9.1988	50.034	28.8018	20.2517	27.2358	0.07633	75.4925
1532.75	64.7433	9.1989	45.078	28.6825	20.2615	27.1845	0.078645	75.4707
1532.875	64.58	9.199	38.768	28.5632	20.2712	27.1333	0.07642	75.449
1533	64.58	9.199	38.768	28.444	20.281	27.082	0.07642	75.449
1533.125	64.58	9.199	38.768	13.49	11.8356	12.3033	0.07642	75.449
1533.25	70.4317	9.1995	32.4455	13.382	11.7802	12.2705	0.069965	72.5735
1533.375	70.7825	9.207	31.678	13.274	11.7249	12.2378	0.06632	72.53
1533.5	70.7825	9.207	31.678	13.166	11.6695	12.205	0.06632	72.53
1533.625	70.7825	9.207	31.678	13.058	11.6141	12.1723	0.06632	72.53
1533.75	71.1333	9.229	36.1835	12.95	11.5588	12.1395	0.067145	72.4865
1533.875	71.484	9.254	46.153	12.842	11.5034	12.1067	0.07154	72.443
1534	71.484	9.254	46.153	12.734	11.448	12.074	0.07154	72.443
1534.125	71.484	9.254	46.153	11.1831	10.2975	12.1296	0.07154	72.443
1534.25	69.501	9.2785	55.927	11.2603	10.33	12.1593	0.08259	75.6393
1534.375	69.626	9.296	55.166	11.3374	10.3625	12.1889	0.08939	75.7505
1534.5	69.626	9.296	55.166	11.4145	10.395	12.2185	0.08939	75.7505
1534.625	69.626	9.296	55.166	11.4916	10.4275	12.2481	0.08939	75.7505
1534.75	69.751	9.2962	49.7955	11.5687	10.46	12.2778	0.08416	75.8617
1534.875	69.876	9.2964	49.535	11.6459	10.4925	12.3074	0.08151	75.973
1535	69.876	9.2964	49.535	11.723	10.525	12.337	0.08151	75.973
1535.125	69.876	9.2964	49.535	16.8105	14.2889	19.0428	0.08151	75.973
1535.25	65.1305	9.2966	51.04	16.821	14.2798	18.9055	0.084055	76.0098
