DEPTH	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1037.75	9.0198	0.061078	84.3958	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1038	9.0278	0.052159	82.4558	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1038.25	9.0403	0.0488	85.9197	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1038.5	9.0558	0.049146	92.9847	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1038.75	9.0444	0.048805	94.1223	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1039	9.015	0.048005	91.31	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1039.25	8.972	0.044229	89.12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1039.5	8.929	0.040452	86.93	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1039.75	8.9146	0.034018	89.4298	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1040	8.9168	0.03041	90.5061	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1040.25	8.9438	0.031044	89.4461	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1040.5	8.9583	0.029703	90.1071	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1040.75	8.9539	0.025398	93.3507	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1041	8.8998	0.023754	90.025	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1041.25	8.8333	0.022777	85.055	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1041.5	8.976	0.026842	83.86	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1041.75	9.171	0.032167	83.61	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1042	9.187	0.041161	83.995	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1042.25	9.1272	0.047707	84.9435	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1042.5	8.9432	0.040808	87.5085	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1042.75	8.7921	0.034036	88.7618	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1043	8.7727	0.02777	84.7745	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1043.25	8.7791	0.020513	85.0553	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1043.5	8.8026	0.012595	88.1803	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1043.75	9.0025	0.02784	87.9298	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1044	9.32	0.05852	85.43	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1044.25	9.2225	0.077368	85.775	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1044.5	9.125	0.096217	86.12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1044.75	9.148	0.065759	87.275	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1045	9.171	0.035302	88.43	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1045.25	9.186	0.028619	90.6986	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1045.5	9.2324	0.026701	91.5481	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1045.75	9.3259	0.031931	90.2681	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1046	9.3178	0.035768	89.5625	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1046.25	9.1572	0.037516	89.7187	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1046.5	8.9622	0.034486	89.922	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1046.75	8.7587	0.03026	90.137	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1047	8.6515	0.031732	88.305	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1047.25	8.6182	0.031545	85.448	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1047.5	8.585	0.019035	80.543	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1047.75	8.7086	0.013338	77.0394	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1048	9.3261	0.034862	79.1344	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1048.25	9.7428	0.059211	81.1691	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1048.5	9.3572	0.094846	82.9627	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1048.75	9.1115	0.097921	84.0941	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1049	8.959	0.079298	84.7841	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1049.25	8.8744	0.067832	85.4575	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1049.5	8.835	0.061136	86.12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1049.75	9.058	0.048153	87.245	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1050	9.281	0.03517	88.37	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1050.25	9.1298	0.030368	89.4262	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
