DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1016.125	-999.25	9.531	0.011198	-999.25	-999.25	-999.25	-999.25	0.393839	2.888	2.2169	-999.25
1016.25	-999.25	9.535	0.013163	-999.25	-999.25	-999.25	-999.25	0.401217	2.8645	2.2107	-999.25
1016.375	-999.25	9.539	0.015129	-999.25	-999.25	-999.25	-999.25	0.408594	2.841	2.2107	-999.25
1016.5	-999.25	9.539	0.015129	-999.25	-999.25	-999.25	-999.25	0.408594	2.841	2.2045	-999.25
1016.625	-999.25	9.539	0.015129	-999.25	-999.25	-999.25	-999.25	0.408594	2.841	2.2045	-999.25
1016.75	-999.25	9.534	0.012903	-999.25	-999.25	-999.25	-999.25	0.421206	2.8116	2.2022	-999.25
1016.875	-999.25	9.5335	0.010878	-999.25	-999.25	-999.25	-999.25	0.424746	2.8012	2.2022	-999.25
1017	-999.25	9.5335	0.010878	-999.25	-999.25	-999.25	-999.25	0.424746	2.8012	2.2012	-999.25
1017.125	-999.25	9.5335	0.010878	-999.25	-999.25	-999.25	-999.25	0.424746	2.8012	2.2012	-999.25
1017.25	-999.25	9.533	0.009158	-999.25	-999.25	-999.25	-999.25	0.414672	2.8192	2.2019	-999.25
1017.375	-999.25	9.5325	0.011717	-999.25	-999.25	-999.25	-999.25	0.41027	2.8527	2.2019	-999.25
1017.5	-999.25	9.5325	0.011717	-999.25	-999.25	-999.25	-999.25	0.41027	2.8527	2.2039	-999.25
1017.625	-999.25	9.5325	0.011717	-999.25	-999.25	-999.25	-999.25	0.41027	2.8527	2.2039	-999.25
1017.75	-999.25	9.532	0.020699	-999.25	-999.25	-999.25	-999.25	0.414381	2.9096	2.2078	-999.25
1017.875	-999.25	9.5315	0.023125	-999.25	-999.25	-999.25	-999.25	0.410815	2.8282	2.2078	-999.25
1018	-999.25	9.5315	0.023125	-999.25	-999.25	-999.25	-999.25	0.410815	2.8282	2.2148	-999.25
1018.125	-999.25	9.5315	0.023125	-999.25	-999.25	-999.25	-999.25	0.410815	2.8282	2.2148	-999.25
1018.25	-999.25	9.531	0.023912	-999.25	-999.25	-999.25	-999.25	0.40533	2.7122	2.2226	-999.25
1018.375	-999.25	9.5975	0.020324	-999.25	-999.25	-999.25	-999.25	0.399215	2.776	2.2226	-999.25
1018.5	-999.25	9.5975	0.020324	-999.25	-999.25	-999.25	-999.25	0.399215	2.776	2.2261	-999.25
1018.625	-999.25	9.5975	0.020324	-999.25	-999.25	-999.25	-999.25	0.399215	2.776	2.2261	-999.25
1018.75	-999.25	9.6608	0.015844	-999.25	-999.25	-999.25	-999.25	0.392197	2.8878	2.2285	-999.25
1018.875	-999.25	9.6448	0.012163	-999.25	-999.25	-999.25	-999.25	0.382202	3.0118	2.2285	-999.25
1019	-999.25	9.6448	0.012163	-999.25	-999.25	-999.25	-999.25	0.382202	3.0118	2.2307	-999.25
1019.125	-999.25	9.6448	0.012163	-999.25	-999.25	-999.25	-999.25	0.382202	3.0118	2.2307	-999.25
1019.25	-999.25	9.6039	0.008905	-999.25	-999.25	-999.25	-999.25	0.371722	3.1041	2.2348	-999.25
1019.375	-999.25	9.4634	0.007345	-999.25	-999.25	-999.25	-999.25	0.359303	3.0696	2.2348	-999.25
1019.5	-999.25	9.4634	0.007345	-999.25	-999.25	-999.25	-999.25	0.359303	3.0696	2.2461	-999.25
1019.625	-999.25	9.4634	0.007345	-999.25	-999.25	-999.25	-999.25	0.359303	3.0696	2.2461	-999.25
1019.75	-999.25	9.353	0.004967	-999.25	-999.25	-999.25	-999.25	0.343854	2.9884	2.244	-999.25
1019.875	-999.25	9.363	-0.000684	-999.25	-999.25	-999.25	-999.25	0.316282	2.7202	2.244	-999.25
1020	-999.25	9.363	-0.000684	-999.25	-999.25	-999.25	-999.25	0.316282	2.7202	2.1883	-999.25
